3179,"I-80 & I-94, EXIT 15B",Lake Station,IN,
3191,"I-24, EXIT 105 & US-41/SR-2",Manchester,TN,
3205,"I-29 & SR 34, MM 109",Colman,SD,
3206,US-10 & SR-78,Perham,MN,
3215,"I-4, EXIT 44",Polk City,FL,
3216,"I-24, EXIT 86 & US-41",Oak Grove,KY,
3221,"US-67, EXIT 55 & US-64/US-167 & SR-367",Bald Knob,AR,
3222,"I-95, EXIT 36B",Pompano Beach,FL,
3226,"I-81, EXIT 77 & SR-39",Harrisburg,PA,
3227,"I-26 & US-17, EXIT 199",Summerville,SC,
3230,US-281 & US-285,Falfurrias,TX,
3264,"I-40/US-63, EXIT 260 & SR-149",Earle,AR,
3280,US-85 & US-18/US-20,Lusk,WY,
3281,I-80 EXIT 215 & SR-254,Milton,PA,
3284,"I-49/US-71, EXIT 77 & US-160",Lamar,MO,
3297,"I-80, EXIT 370",Cheyenne,WY,
3316,"I-40, EXIT 161 & SR-391",North Little Rock,AR,
3326,"I-81, EXIT 32",Central Square,NY,
3330,"I-95, EXIT 3A & US-101",Greenland,NH,
3349,"I-20 & I-59, EXIT150",Meridian,MS,
3383,"I-35, EXIT 137",Oklahoma City,OK,
3386,"I-25/US-87, EXIT 240 & SR-119",Longmont,CO,
3401,"I-77, EXIT 48 & SR-200",Winnsboro,SC,
3413,US-167 & SR-156,Winnfield,LA,
3415,"I-16, EXIT 104",Metter,GA,
3418,"I-79, EXIT 105 & CR-7",Jane Lew,WV,
3421,"I-5, EXIT 142",Federal Way,WA,
3422,"I-10, EXIT 601",Seguin,TX,
3427,"I-69, EXIT 357",Fremont,IN,
3432,"I-65, EXIT 201 & US-231",Remington,IN,
3435,"I-35, EXIT 266 & SR-195",Georgetown,TX,
3444,US-441/SR-500,Orlando,FL,
3460,US-18 & US-169,Algona,IA,
3464,"I-84,  EXIT 71",Boise,ID,
3471,"I-16, EXIT 160",Savannah,GA,
3475,"I-85, EXIT 63",Kannapolis,NC,
3477,"I-91, EXIT 7",Springfield,VT,
3479,"I-75/SR-401, EXIT 136 & US-341",Perry,GA,
3493,"I-75, EXIT 290 & SR-20",Cartersville,GA,
3519,"I-10, EXIT 873",Orange,TX,
3522,US-59,Livingston,TX,
3526,"I-75, EXIT 99 & SR-119",Anna,OH,
3530,"I-35, EXIT 111B & US-30",Jefferson,IA,
3536,I-40 EAST & S LAKESIDE Dr,Amarillo,TX,
3539,"I-10, EXIT 620 & SR-123",Seguin,TX,
3545,"I-494, EXIT 64A",South Saint Paul,MN,
3580,"I-80, EXIT 221 & SR-76",Sinclair,WY,
3585,"I-80, EXIT 129",Lovelock,NV,
3588,"I-10, EXIT 829 & SR-124",Winnie,TX,
